"dwaid","dwatitle","adoption_rate","number_observations","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I09.D08","Provide for basic needs of children.","25.9%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I19.D02","Maintain contingency plans for disaster recovery.","25.8%","142","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I11.D04","Monitor organizational compliance with regulations.","25.7%","201","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I13.D06","Assign duties or work schedules to employees.","25.6%","173","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I05.D06","Purchase products or services.","25.5%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I03.D12","Promote products, services, or programs.","25.5%","42","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I07.D07","Evaluate characteristics of equipment or systems.","25.5%","40","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I23.D03","Interview clients to gather financial information.","25.4%","56","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I03.D05","Coordinate artistic activities.","25.4%","32","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I09.D07","Document design or operational test results.","25.1%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I06.D03","Mount materials or workpieces onto production equipment.","25.0%","29","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D15","Draw detailed or technical illustrations.","25.0%","74","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I01.D03","Manage inventories of products or organizational resources.","25.0%","77","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I07.D02","Advise students on academic or career matters.","24.9%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01.D02","Supervise engineering or other technical personnel.","24.9%","26","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I08.D14","Estimate construction project labor requirements.","24.7%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D20","Exchange information with colleagues.","24.7%","54","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I02.D05","Sell products or services.","24.6%","120","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I03.D02","Prepare research or technical reports.","24.6%","59","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I02.D11","Review blueprints or other instructions to determine operational methods or sequences.","24.6%","87","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.2.I01.D05","Recruit personnel.","24.6%","85","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I02.D04","Explain regulations, policies, or procedures.","24.5%","138","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I05.D01","Evaluate information related to legal matters in public or personal records.","24.5%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I02.D06","Apply multiple teaching methods.","24.5%","403","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I03.D07","Operate equipment or vehicles to clear construction sites or move materials.","24.4%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I07.D05","Monitor resources.","24.4%","29","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I02.D03","Customize financial products or services to meet customer needs.","24.0%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D05","Adjust equipment to ensure optimal performance.","23.8%","92","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I05.D05","Order construction or extraction materials or equipment.","23.8%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I02.D11","Monitor food services operations to ensure procedures are followed.","23.8%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I13.D01","Prepare sales or other contracts.","23.7%","145","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I03.D01","Monitor financial information.","23.7%","44","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I03.D07","Provide notifications to customers or patrons.","23.7%","91","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I13.D06","Discuss designs or plans with clients.","23.7%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I04.D03","Reassemble equipment after repair.","23.6%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I04.D03","Evaluate skills of athletes or performers.","23.6%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I10.D07","Examine condition of property or products.","23.6%","71","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I12.D02","Confer with court staff to clarify information.","23.6%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I03.D12","Disburse funds from clients accounts to creditors.","23.5%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I04.D04","Operate diagnostic imaging equipment.","23.4%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I07.D04","Implement advanced life support techniques.","23.4%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I06.D05","Enforce rules or policies governing student behavior.","23.4%","51","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I03.D10","Take product orders from customers.","23.4%","59","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D07","Create construction or installation diagrams.","23.4%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I03.D02","Install computer hardware.","23.2%","29","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I10.D06","Assist passengers during vehicle boarding.","23.2%","29","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D08","Maintain knowledge of current developments in area of expertise.","23.2%","58","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I03.D03","Process medical billing information.","23.0%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I04.D12","Train personnel in organizational or compliance procedures.","23.0%","33","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I15.D05","Establish operational policies.","23.0%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I03.D02","Present business-related information to audiences.","22.9%","30","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I03.D05","Contact current or potential customers to promote products or services.","22.9%","85","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I07.D06","Advise others on career or personal development.","22.8%","40","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D26","Record personnel information.","22.8%","60","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I02.D06","Study blueprints or other instructions to determine equipment setup requirements.","22.8%","40","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D32","Coordinate project activities with other personnel or departments.","22.6%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I10.D02","Monitor the performance of computer networks.","22.6%","29","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I07.D03","Collaborate with other teaching professionals to develop educational programs.","22.6%","51","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01.D13","Supervise employees.","22.6%","635","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I04.D03","Inspect vehicles to determine overall condition.","22.5%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D38","Manage healthcare operations.","22.5%","74","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.2.I01.D03","Hire personnel.","22.4%","233","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I41.D05","Mark reference points on construction materials.","22.4%","83","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I02.D02","Prepare documentation of legal proceedings.","22.4%","29","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D20","Coordinate logistics for productions or events.","22.3%","25","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I01.D01","Verify accuracy of records.","22.1%","75","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I01.D03","Help clients get needed services or resources.","22.1%","32","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I01.D05","Modify treatment plans to accommodate client needs.","22.1%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D12","Maintain student records.","22.1%","304","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I14.D02","Gather customer or product information to determine customer needs.","22.1%","332","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I03.D04","Monitor flow of cash or other resources.","22.0%","219","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I04.D01","Create new recipes or food presentations.","22.0%","32","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I03.D04","Approve expenditures.","21.9%","109","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D17","Direct administrative or support services.","21.9%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I03.D03","Compile data or documentation.","21.9%","195","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I13.D05","Assign class work to students.","21.7%","187","","","","","","","","","","","","","","","","","","","","","",""
